entity,occurrence_count,books,categories,sample_lines
Volta Acoustic Survey,1,2,proper_noun_phrase,B2:671
The Notary Art,1,2,proper_noun_phrase,B2:862
1230 CE,1,2,address,B2:863
The December,1,2,proper_noun_phrase,B2:904
333 Hz,1,2,address,B2:926
Sub Tropolis,1,2,proper_noun_phrase,B2:950
The Kabbalistic,1,2,proper_noun_phrase,B2:1030
Kabbalistic Tree,1,2,proper_noun_phrase,B2:1044
Which Nadia,1,2,proper_noun_phrase,B2:1049
17 PM,1,2,address,B2:1401
18 PM,1,2,address,B2:1412
Central Europeans,1,2,proper_noun_phrase,B2:1504
Papyrus Berolinensis,1,2,proper_noun_phrase,B2:1551
The Berlin,1,2,proper_noun_phrase,B2:1551
Not Mary,1,2,proper_noun_phrase,B2:1598
Then Mary,1,2,proper_noun_phrase,B2:1632
And Peter,1,2,proper_noun_phrase,B2:1632
And Levi,1,2,proper_noun_phrase,B2:1675
No Foundation,1,2,proper_noun_phrase,B2:1698
To Sabrina,1,2,proper_noun_phrase,B2:1814
The Solomon,1,2,proper_noun_phrase,B2:1884
United States,1,2,proper_noun_phrase,B2:2047
But Teresa,1,2,proper_noun_phrase,B2:2052
Emmanuel Crane Jr,1,2,proper_noun_phrase,B2:2065
Emmanuel Crane Sr,1,2,proper_noun_phrase,B2:2082
Royal Portal,1,2,proper_noun_phrase,B2:2214
But Moreau,1,2,proper_noun_phrase,B2:2255
The Chartres,1,2,proper_noun_phrase,B2:2288
The March,1,2,proper_noun_phrase,B2:2348
And Andrew,1,2,proper_noun_phrase,B2:2353
The Uppsala,1,2,proper_noun_phrase,B2:2434
Vendel Period,1,2,proper_noun_phrase,B2:2434
Christian Scandinavia,1,2,proper_noun_phrase,B2:2435
115 Hz,1,2,address,B2:2440
Professor Astrid Lindblom,1,2,proper_noun_phrase,B2:2444
Uppsala University Department,1,2,proper_noun_phrase,B2:2444
The Norse,1,2,proper_noun_phrase,B2:2479
The Cripta,1,2,proper_noun_phrase,B2:2523
What Gaud,1,2,proper_noun_phrase,B2:2587
The Gaud,1,2,proper_noun_phrase,B2:2591
The Santa Cova,1,2,proper_noun_phrase,B2:2597
Holy Cave,1,2,proper_noun_phrase,B2:2597
Black Madonna,1,2,proper_noun_phrase,B2:2608
The Madonna,1,2,proper_noun_phrase,B2:2617
The Mediterranean,1,2,proper_noun_phrase,B2:2680
City Plaza,1,2,proper_noun_phrase,B2:2728
Internal Cognigenics,1,2,proper_noun_phrase,B2:2781
Silver Spring,1,2,proper_noun_phrase,B2:2842
After Teresa,1,2,proper_noun_phrase,B2:3047
Not Andrew,1,2,proper_noun_phrase,B2:3078
Three Marys,1,2,proper_noun_phrase,B2:3134
Central European,1,2,proper_noun_phrase,B2:3155
17 AM Prague,1,2,address,B2:3184
23 Hz,1,2,address,B2:3244
112 Hz,1,2,address,B2:3295
04 Hz,1,2,address,B2:3407
What Andrew,1,2,proper_noun_phrase,B2:3411
To Blake,1,2,proper_noun_phrase,B2:3456
47 AM Prague,1,2,address,B2:3463
Masters Foundation,1,2,proper_noun_phrase,B2:3503
The Hemi,1,2,proper_noun_phrase,B2:3589
After Yuki,1,2,proper_noun_phrase,B2:3716
Not That,1,2,proper_noun_phrase,B2:3748
Monthly Personal Check,1,2,proper_noun_phrase,B2:3803
Foundation Nadia,1,2,proper_noun_phrase,B2:3837
Not English,1,2,proper_noun_phrase,B2:3877
And Sabrina,1,2,proper_noun_phrase,B2:3974
The Heritage Ministry,1,2,proper_noun_phrase,B2:4000
Heritage Ministry,1,2,proper_noun_phrase,B2:4001
State Board,1,2,proper_noun_phrase,B2:4048
Higher Education,1,2,proper_noun_phrase,B2:4048
Missouri Board,1,2,proper_noun_phrase,B2:4060
About Sister Maria Theresa,1,2,proper_noun_phrase,B2:4133
Kotoka International,1,2,proper_noun_phrase,B2:4180
Professor Masters,1,2,proper_noun_phrase,B2:4194
Paramount Chiefs,1,2,proper_noun_phrase,B2:4208
Not Fontomfrom,1,2,proper_noun_phrase,B2:4430
The Fall,1,2,proper_noun_phrase,B2:4792
The Senate,1,2,proper_noun_phrase,B2:4865
Senator Margaret Holt,1,2,proper_noun_phrase,B2:4894
What Cognigenics,1,2,proper_noun_phrase,B2:4968
The Dual Use Research,1,2,proper_noun_phrase,B2:4987
Every Ashanti,1,2,proper_noun_phrase,B2:4992
Lincoln Memorial,1,2,proper_noun_phrase,B2:5075
Strahov Premonstratensian,1,2,proper_noun_phrase,B2:5093
Father Benjamin Moreau,1,2,proper_noun_phrase,B2:5152
Francis Parish,1,2,proper_noun_phrase,B2:5153
Master Builders,1,2,proper_noun_phrase,B2:5182
Between Chartres,1,2,proper_noun_phrase,B2:5197
Fondamenta Nuove,1,2,proper_noun_phrase,B2:5201
San Michele,1,2,proper_noun_phrase,B2:5202
Compressed Preparation Protocols,1,2,proper_noun_phrase,B2:5264
Frequency Therapy,1,2,proper_noun_phrase,B2:5265
Stratification Framework,1,2,proper_noun_phrase,B2:5265
Emmanuel Crane,1,2,proper_noun_phrase,B2:5351
Crane Jr,1,2,proper_noun_phrase,B2:5401
Urgency Argument,1,2,proper_noun_phrase,B2:5401
Full Discussion,1,2,proper_noun_phrase,B2:5401
14 PM,1,2,address,B2:5418
Stanford University School,1,2,proper_noun_phrase,B2:5435
Behavioral Sciences,1,2,proper_noun_phrase,B2:5436
Computational Neuroscience,1,2,proper_noun_phrase,B2:5437
Called Jennifer,1,2,proper_noun_phrase,B2:5537
Year One,1,2,proper_noun_phrase,B2:5542
Icelandic January,1,2,proper_noun_phrase,B2:5546
After Blake,1,2,proper_noun_phrase,B2:5564
While Blake,1,2,proper_noun_phrase,B2:5596
Vance Doctrine,1,2,proper_noun_phrase,B2:5598
His Moleskine,1,2,proper_noun_phrase,B2:5731
100 Hz,1,2,address,B2:5739
Dialed Nadia,1,2,proper_noun_phrase,B2:5848
In Iceland,1,2,proper_noun_phrase,B2:5881
The Metatron,1,2,proper_noun_phrase,B2:5902
Nag Hammadi,1,2,proper_noun_phrase,B2:5949
Eight Moleskines,1,2,proper_noun_phrase,B2:6006
110 Hz,1,2,address,B2:6074
The Hypogeum,1,2,proper_noun_phrase,B2:6692
Strahov Monastery,1,2,proper_noun_phrase,B2:6693
Masters Frequency,1,2,proper_noun_phrase,B2:6747
The Capitol,1,2,proper_noun_phrase,B2:6782
Late November,1,2,proper_noun_phrase,B2:6835
To Ama Ata,1,2,proper_noun_phrase,B2:6869
Then December,1,2,proper_noun_phrase,B2:6913
The November,1,2,proper_noun_phrase,B2:6940
The Volta Region,1,2,proper_noun_phrase,B2:6956
The Raphael,1,2,proper_noun_phrase,B2:7106
Land Cruisers,1,2,proper_noun_phrase,B2:7301
What Jesus,1,2,proper_noun_phrase,B2:7307
The Kingdom,1,3,proper_noun_phrase,B3:2
Volume One,1,3,proper_noun_phrase,B3:13
Kansas City Royals,1,3,proper_noun_phrase,B3:144
Marcus Blake,1,3,proper_noun_phrase,B3:147
Acoustic Perception,1,3,proper_noun_phrase,B3:199
Then James Okafor,1,3,proper_noun_phrase,B3:300
First Kansas City,1,3,proper_noun_phrase,B3:432
Senior Advisor,1,3,proper_noun_phrase,B3:549
Continuous Perception Support,1,3,proper_noun_phrase,B3:549
Chief Science Officer,1,3,proper_noun_phrase,B3:554
The Masters Frequency Foundation,1,3,proper_noun_phrase,B3:596
62 Hz,1,3,address,B3:611
The Price Chopper,1,3,proper_noun_phrase,B3:843
Price Choppers,1,3,proper_noun_phrase,B3:843
Is Blake,1,3,proper_noun_phrase,B3:980
400 Hz,1,3,address,B3:1015
725 RPM,1,3,address,B3:1019
20 Hz,1,3,address,B3:1035
James Okafor,1,3,proper_noun_phrase,B3:1140
Laura Chen,1,3,proper_noun_phrase,B3:1154
Marcus Jr,1,3,proper_noun_phrase,B3:1155
Sarah Washington,1,3,proper_noun_phrase,B3:1156
The Charcoal Overcoat,1,3,proper_noun_phrase,B3:1285
His Latin,1,3,proper_noun_phrase,B3:1328
315 MHz,1,3,address,B3:1379
Nissan Altima,1,3,proper_noun_phrase,B3:1381
The Opposition,1,3,proper_noun_phrase,B3:1587
Cognigenics Inc,1,3,proper_noun_phrase,B3:1604
United States Patent Application No,1,3,proper_noun_phrase,B3:1604
23 AM,1,3,address,B3:1612
23 AM Central European Time,1,3,address,B3:1642
Central European Time,1,3,proper_noun_phrase,B3:1642
By Thursday,1,3,proper_noun_phrase,B3:1665
By Friday,1,3,proper_noun_phrase,B3:1673
Judith Hollander,1,3,proper_noun_phrase,B3:1724
Methodological Concerns,1,3,proper_noun_phrase,B3:1724
Acoustic Consciousness Research,1,3,proper_noun_phrase,B3:1725
Critical Analysis,1,3,proper_noun_phrase,B3:1725
Peter Kline,1,3,proper_noun_phrase,B3:1725
Replication Failure,1,3,proper_noun_phrase,B3:1726
Human Frequency Resonance,1,3,proper_noun_phrase,B3:1726
Compressed Acoustic,1,3,proper_noun_phrase,B3:1727
